Search Type, Solution Length, Visited Cells, Path, Total Time
Greedy m, 99, 340, <1,a>, <8,*>, <15,c>, <16,*>, <23,b>, <24,*>, <31,*>, <32,*>, <39,*>, <40,a>, <47,*>, <46,*>, <45,a>, <38,*>, <39,*>, <40,a>, <47,*>, <46,*>, <45,a>, <38,*>, <39,*>, <40,a>, <47,*>, <46,*>, <45,a>, <38,*>, <39,*>, <40,a>, <47,*>, <46,*>, <45,a>, <38,*>, <39,*>, <40,a>, <47,*>, <46,*>, <45,a>, <38,*>, <39,*>, <40,a>, <47,*>, <46,*>, <45,a>, <38,*>, <39,*>, <40,a>, <33,b>, <32,*>, <39,*>, <46,*>, <47,*>, <40,a>, <39,*>, <46,*>, <47,*>, <48,b>, <41,c>, <40,a>, <33,b>, <32,*>, <39,*>, <46,*>, <47,*>, <40,a>, <39,*>, <46,*>, <45,a>, <38,*>, <39,*>, <40,a>, <47,*>, <46,*>, <45,a>, <38,*>, <39,*>, <40,a>, <33,b>, <32,*>, <39,*>, <46,*>, <47,*>, <40,a>, <39,*>, <46,*>, <47,*>, <48,b>, <41,c>, <40,a>, <47,*>, <46,*>, <45,a>, <38,*>, <31,*>, <32,*>, <39,*>, <46,*>, <47,*>, <48,b>, <49,c>,  162
Greedy e, 75, 265, <1,a>, <2,b>, <9,*>, <10,a>, <17,*>, <24,*>, <25,a>, <32,*>, <39,*>, <40,a>, <47,*>, <46,*>, <45,a>, <38,*>, <39,*>, <40,a>, <47,*>, <46,*>, <45,a>, <38,*>, <39,*>, <40,a>, <47,*>, <46,*>, <45,a>, <38,*>, <39,*>, <40,a>, <47,*>, <46,*>, <45,a>, <38,*>, <39,*>, <40,a>, <47,*>, <46,*>, <45,a>, <38,*>, <39,*>, <40,a>, <47,*>, <46,*>, <45,a>, <38,*>, <39,*>, <40,a>, <47,*>, <46,*>, <39,*>, <32,*>, <31,*>, <38,*>, <39,*>, <46,*>, <47,*>, <48,b>, <41,c>, <40,a>, <47,*>, <46,*>, <45,a>, <38,*>, <39,*>, <40,a>, <47,*>, <46,*>, <39,*>, <32,*>, <31,*>, <38,*>, <39,*>, <46,*>, <47,*>, <48,b>, <49,c>,  125
A* m, 15, 490, <1,a>, <2,b>, <9,*>, <16,*>, <23,b>, <22,*>, <29,a>, <30,*>, <31,*>, <32,*>, <39,*>, <46,*>, <47,*>, <48,b>, <49,c>,  23
A* e, 15, 421, <1,a>, <8,*>, <15,c>, <16,*>, <23,b>, <22,*>, <29,a>, <36,b>, <37,c>, <38,*>, <39,*>, <46,*>, <47,*>, <48,b>, <49,c>,  21
Gradient Descent m, 0, 52, Nil   0
Gradient Descent e, 0, 55, Nil   0
