Search Type, Solution Length, Visited Cells, Path, Total Time
Greedy m, 0, 24, Nil   0
Greedy e, 0, 25, Nil   0
A* m, 0, 14, Nil   0
A* e, 0, 14, Nil   0
Gradient Descent m, 0, 4, Nil   0
Gradient Descent e, 0, 4, Nil   0
