Search Type, Solution Length, Visited Cells, Path, Total Time
Greedy m, 9, 13, <1,a>, <4,*>, <7,*>, <8,*>, <5,*>, <4,*>, <7,*>, <8,*>, <9,c>,  15
Greedy e, 9, 11, <1,a>, <2,*>, <5,*>, <8,*>, <7,*>, <4,*>, <5,*>, <8,*>, <9,c>,  15
A* m, 9, 34, <1,a>, <2,*>, <3,*>, <6,*>, <5,*>, <2,*>, <3,*>, <6,*>, <9,c>,  15
A* e, 9, 33, <1,a>, <2,*>, <5,*>, <4,*>, <7,*>, <8,*>, <5,*>, <6,*>, <9,c>,  15
Gradient Descent m, 15, 14, <1,a>, <4,*>, <7,*>, <8,*>, <5,*>, <6,*>, <3,*>, <2,*>, <5,*>, <8,*>, <7,*>, <4,*>, <5,*>, <8,*>, <9,c>,  27
Gradient Descent e, 9, 8, <1,a>, <2,*>, <5,*>, <8,*>, <7,*>, <4,*>, <5,*>, <8,*>, <9,c>,  15
