Search Type, Solution Length, Visited Cells, Path, Total Time
Greedy m, 0, 7679, Nil   0
Greedy e, 0, 8123, Nil   0
A* m, 0, 26590, Nil   0
A* e, 0, 26132, Nil   0
Gradient Descent m, 0, 15, Nil   0
Gradient Descent e, 0, 9, Nil   0
